buyerId,buyer_name,buyer_password,income,buyer_email,buyer_contact_number
,Robin Myers,AzdlaUADE,4700,RobinMyers@mail.com,80510242
,Ila Rosa,vLL74Fcu,74000,IlaRosa@aol.com,89014521
,Tim Mcfarland,wXo4CmQN,6700,TimMcfarland@mail.com,89516922
,Angella Lawson,96G.onJ8K,49000,AngellaLawson@aol.com,88779066
,Bernice Partridge,2Jb145EssHrR,20000,BernicePartridge@yahoo.com,89506632
,Marita Fleagle,lAqpU@E9LCA@,8600,MaritaFleagle@aol.com,98747064
,Edward Rykert,7SvYSDqH5RsJ,36000,EdwardRykert@inbox.com,94628562
,Robert Driver,KpgBP.yL,5600,RobertDriver@inbox.com,89518473
,Regina Stephenson,p1aPe6hydU,7900,ReginaStephenson@hotmail.com,89489917
,Joseph Perez,",6my4.MNvshKM",9100,JosephPerez@inbox.com,80510131
,Kathy Moya,GY6EW.oGHFQ,4300,KathyMoya@gmail.com,80518356
,Dennis Brown,"n2,xD3RWVfsZHw",5000,DennisBrown@gmail.com,80510891
,Wendy Cramer,1Yk6jEeyX,93000,WendyCramer@inbox.com,89056496
,Thomas Tedrow,bwDS@UUM,7500,ThomasTedrow@mail.com,89520539
,Debbie Gooden,BsdH1Qno,57000,DebbieGooden@mail.com,89501177
,Cheryl Dowdy,P922BK.YlRL,68000,CherylDowdy@gmail.com,85639144
,Thomas Young,"w,voRA9nG,.o",4200,ThomasYoung@hotmail.com,95708123
,Chauncey Velasquez,kX76seaZwL,3300,ChaunceyVelasquez@hotmail.com,80516058
,Maurice Fleck,uEn@t1shwhm,4900,MauriceFleck@aol.com,89156967
,Aida Loch,BDr3WdxTY,90000,AidaLoch@inbox.com,89514411
,Randall Dufresne,MNC1dQMowWBWs,6500,RandallDufresne@yahoo.com,98697307
,Lottie Watson,40h1vobbhkbM6,5700,LottieWatson@gmail.com,91713811
,Karen Riley,7N7V9XtC1iKY2q,3800,KarenRiley@mail.com,98836703
,Charles Perrigan,"VBtPPh7Es2,hwA",5800,CharlesPerrigan@gmail.com,89040196
,Alexander Rimple,8brNTE0aaik@9,4000,AlexanderRimple@yahoo.com,89510662
,Byron Romer,BskbNAcHK5xe,8300,ByronRomer@gmail.com,89352939
,Leonard Canon,2840gYtLPJD08C,92000,LeonardCanon@gmail.com,80178979
,Kathryn Calkins,icLntgbBpN,47000,KathrynCalkins@inbox.com,80511952
,Jeffrey Dungey,wko1oWccThGr,4100,JeffreyDungey@gmail.com,92008258
,Brett Collier,rkz3JT4nklL,9500,BrettCollier@yahoo.com,95219406
,Dianne Thill,EBnS8UV6e,45000,DianneThill@mail.com,89529765
,Charlotte Cotter,.aYzYYEgfY,31000,CharlotteCotter@hotmail.com,89505156
,Warren Broadnax,iMDL0jiUembF,7000,WarrenBroadnax@gmail.com,89523300
,Sarah Kitchen,"S2,B4JBclM",44000,SarahKitchen@inbox.com,89521384
,Hyacinth Sears,4@973QZj2iSp,2400,HyacinthSears@aol.com,97170913
,Gary Simmons,rGTeec89h,36000,GarySimmons@hotmail.com,82256967
,Frank Outlaw,cwzV@0Zvedd,87000,FrankOutlaw@aol.com,80372203
,August Stone,"w,.caS4icE4JvA",45000,AugustStone@yahoo.com,80515078
,Alma Crouse,R9L8EQVPCqV3T,33000,AlmaCrouse@aol.com,80512601
,Gloria Miller,MJla0z5e2,7400,GloriaMiller@inbox.com,90257477
,Martha Dykes,r7NCYxcDGYE,10000,MarthaDykes@gmail.com,89502874
,Mona Eaves,9kZqk7r3rgn,52000,MonaEaves@yahoo.com,80307259
,Estelle Perez,BWQUpjcFr,22000,EstellePerez@yahoo.com,89512300
,Williams Wilkins,qYYeM4gT2Y,22000,WilliamsWilkins@mail.com,80266364
,Edda Hadley,8mrSDQdLye1H,4700,EddaHadley@gmail.com,89514637
,Renee Holsopple,RHxMRF72Ew3,61000,ReneeHolsopple@mail.com,80518270
,Michael Bailey,EeZtKGaURtHS,8300,MichaelBailey@hotmail.com,80511232
,Kathryn Herndon,URBbLbRAxNgG5X,2800,KathrynHerndon@mail.com,89381073
,William Marquess,MUXACtwjmz,6700,WilliamMarquess@aol.com,80516420
,Wade Tarleton,bd.daQD3hyRZN@,93000,WadeTarleton@yahoo.com,89527289
