cardealerId,name,password,email,contact_number,companyName,address,dealerLicense,rating,experience
,Maria,6bs8PBfR,Maria@gmail.com,94196513,MariaMotors,2 PIONEER SECTOR WALK SINGAPORE 627828,JX4R2M,4.9,17
,Martin,wN3qTt0f,Martin@gmail.com,88546462,MartinMotors,232 PENDING ROAD HDB-BUKIT PANJANG SINGAPORE 670232,85V2RW,1.6,3
,Teresa,oQQRxHXB,Teresa@gmail.com,85162670,TeresaMotors,29 LUXUS HILL AVENUE LUXUS HILLS SINGAPORE 804829,HZRYGY,1.9,10
,Nancy,3fVL1lkL,Nancy@gmail.com,89775513,NancyMotors,12 THOMSON HEIGHTS SINGAPORE 574841,1P1WCE,1.9,19
,Johnson,gUjfs8uN,Johnson@gmail.com,87917326,JohnsonMotors,140 UPPER BUKIT TIMAH ROAD BEAUTY WORLD PLAZA SINGAPORE 588176,RX9A25,4.2,17
,Thomas,bQ4NtbUU,Thomas@gmail.com,85499718,ThomasMotors,318 WOODLANDS STREET 31 HDB-WOODLANDS SINGAPORE 730318,PEQPSW,9.9,2
,Jennifer,5pjzUvdi,Jennifer@gmail.com,87498906,JenniferMotors,7 ALEXANDRA VIEW ECHELON SINGAPORE 158741,773U13,7.1,13
,Josephine,DvVo6gma,Josephine@gmail.com,89612629,JosephineMotors,20 DUNEARN ROAD DUNEARN GARDENS SINGAPORE 309422,TB2H6C,7.5,18
,Davis,qx1f3i0h,Davis@gmail.com,92696693,DavisMotors,54 FULTON ROAD FULTON HILL SINGAPORE 578937,DDN97H,8.4,6
,John,30UbfywE,John@gmail.com,85864587,JohnMotors,12 BEGONIA ROAD HOCK SWEE HILL SINGAPORE 809801,H5SOJK,8.4,11
,Linda,PyOdT5Dy,Linda@gmail.com,87504275,LindaMotors,21 HOUGANG AVENUE 3 HOUGANG VIEW SINGAPORE 530021,DPG9LW,8.3,14
,Angelica,A2z35WSG,Angelica@gmail.com,95726489,AngelicaMotors,469 RIVER VALLEY ROAD RV RESIDENCES SINGAPORE 248354,9FEQK0,9.7,13
,Samantha,4F988bHG,Samantha@gmail.com,80003968,SamanthaMotors,9 WHITE HOUSE PARK SINGAPORE 257605,BNRXA3,4,3
,Sharon,X9eLwNjr,Sharon@gmail.com,84249385,SharonMotors,19 VERDE PLACE VILLA VERDE SINGAPORE 688628,SNJP6J,1.7,6
,Grace,kQ0Ujk4d,Grace@gmail.com,93266994,GraceMotors,46 SOUTH BRIDGE ROAD KINGLY BUILDING SINGAPORE 058679,NU36XX,9.5,16
,Barbara,mZSrFVN6,Barbara@gmail.com,81355768,BarbaraMotors,485C CHOA CHU KANG AVENUE 5 HDB-CHOA CHU KANG SINGAPORE 683485,MW70YT,1.7,13
,Hazel,empH6MQ6,Hazel@gmail.com,89940457,HazelMotors,243 SEAGULL WALK MERA TERRACE SINGAPORE 486637,1AHZQA,1.2,9
,Arlene,bubSx9uQ,Arlene@gmail.com,90933910,ArleneMotors,830A JURONG WEST STREET 81 HDB-JURONG WEST SINGAPORE 641830,5BDTFM,5.8,11
,Sherri,Gim4iljh,Sherri@gmail.com,89536239,SherriMotors,685C JURONG WEST CENTRAL 1 HDB-JURONG WEST SINGAPORE 643685,ZBDVJU,5.9,10
,Lessie,8HrAXkVL,Lessie@gmail.com,86951280,LessieMotors,1 KIAN TECK DRIVE SINGAPORE 628818,DYL6YK,4.6,11
,William,EFdlZxBz,William@gmail.com,85571774,WilliamMotors,1 SPRINGLEAF VIEW SPRINGLEAF GARDEN SINGAPORE 787907,V38JQT,2.6,12
,Stephenie,DQGGwofw,Stephenie@gmail.com,96361744,StephenieMotors,33 OXLEY WALK BELLE VUE RESIDENCES SINGAPORE 238599,CNFVVL,3.4,7
,Virgil,rz0B4Gcb,Virgil@gmail.com,93115824,VirgilMotors,209 JALAN LOYANG BESAR ASTON RESIDENCE SINGAPORE 509489,O0TFY2,0.4,7
,Dennis,n1o12NjA,Dennis@gmail.com,90163214,DennisMotors,89 LORONG G TELOK KURAU EAST BAY GARDENS SINGAPORE 426278,QCPAS4,1.8,20
,Christian,Ow5JtdfO,Christian@gmail.com,89941943,ChristianMotors,170 STIRLING ROAD STIRLING VIEW SINGAPORE 140170,EASG65,4.8,9
,James,kiBCgyZd,James@gmail.com,81818175,JamesMotors,606A TAMPINES STREET 61 TAMPINES GREENRIDGES SINGAPORE 521606,CQQPSF,2.4,10
,Latoya,tKxHjSx9,Latoya@gmail.com,81150453,LatoyaMotors,523 BUKIT BATOK STREET 52 HDB-BUKIT BATOK SINGAPORE 650523,AZMBLR,7.7,9
,Lisa,xNykoTdd,Lisa@gmail.com,81774484,LisaMotors,297C CHOA CHU KANG AVENUE 2 HDB-CHOA CHU KANG SINGAPORE 683297,4JD38I,6,16
,Ken,JDniUP78,Ken@gmail.com,99237779,KenMotors,130 CHOA CHU KANG AVENUE 1 HDB-CHOA CHU KANG SINGAPORE 680130,NHA41P,0.4,11
,Kenneth,p4HEoBS7,Kenneth@gmail.com,82301915,KennethMotors,449A BUKIT BATOK WEST AVENUE 9 WEST VALLEY @ BUKIT BATOK SINGAPORE 651449,3C0LW3,6.6,6
,Marley,TnMsp1Mu,Marley@gmail.com,99185277,MarleyMotors,682A WOODLANDS DRIVE 62 HDB-WOODLANDS SINGAPORE 731682,8M71JK,0.2,12
